Plate_Format_ID	Plate_Format_Type	Plate_Format_Status	FK_Barcode_Label__ID	Max_Row	Max_Col	Plate_Format_Style	Well_Capacity_mL	Capacity_Units	Wells	Well_Lookup_Key	Empty_Container_Weight_in_g
1	Plate_Format_Type	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL
2	ACD Blood Vacuum Tube	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL
3	SST Blood Vacuum Tube	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL
4	EDTA Blood Vacuum Tube	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL
5	Urine Cup	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL
6	cryovial	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL
7	PST Blood Vacuum Tube	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL
8	Saliva Cup	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL
9	Conical Tube	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL
10	EDTA (6 mL) RBC+WBC Tube	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL
11	EDTA (6 mL) Tube	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL
12	EDTA Plasma Tube	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL
13	Frozen Red Top Serum Tube	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL
14	EDTA (4 mL) RBC+WBC Tube	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL
15	EDTA (4 mL) Tube	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL
16	cryovial	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL
17	eppendorf	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL
18	Frozen Blue Top Plasma Tube	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL
