Plate_Format_ID	Plate_Format_Type	Plate_Format_Status	FK_Barcode_Label__ID	Max_Row	Max_Col	Plate_Format_Style	Well_Capacity_mL	Capacity_Units	Wells	Well_Lookup_Key	Empty_Container_Weight_in_g
1	ACD Blood Vacuum Tube	Active	31	A	1	Tube	6	ml	1	NULL	NULL
2	SST Blood Vacuum Tube	Active	31	A	1	Tube	5	ml	1	NULL	NULL
3	EDTA Blood Vacuum Tube	Active	31	A	1	Tube	6	ml	1	NULL	NULL
4	Urine Cup	Active	31	A	1	Tube	100	ml	1	NULL	NULL
5	cryovial	Active	35	A	1	Tube	2	ml	1	NULL	NULL
6	PST Blood Vacuum Tube	Active	31	A	1	Tube	6	ml	1		NULL
13	Saliva Cup	Active	36	A	1	Tube	100	ml	1		NULL
14	Conical Tube	Active	36	A	1	Tube	50	ml	1		NULL
15	EDTA (6 mL) RBC+WBC Tube	Active	31	A	1	Tube	6	ml	1		NULL
16	EDTA (6 mL) Tube	Active	31	A	1	Tube	6	ml	1		NULL
17	EDTA Plasma Tube	Active	31	A	1	Tube	3.6	ml	1		2.89
18	Frozen Red Top Serum Tube	Active	31	A	1	Tube	3.6	ml	1		NULL
19	EDTA (4 mL) RBC+WBC Tube	Active	31	A	1	Tube	4	ml	1		NULL
20	EDTA (4 mL) Tube	Active	31	A	1	Tube	4	ml	1		NULL
22	cryovial	Active	35	A	1	Tube	1	ml	1		2
23	eppendorf	Active	35	A	1	Tube	1.8	ml	1		NULL
24	Frozen Blue Top Plasma Tube	Active	31	A	1	Tube	3.6	ml	1		2.89
25	Falcon Tube	Active	35	A	1	Tube	3.6	ml	1	Tube	NULL
27	Matrix Tube	Active	35	A	1	Tube	0	ml	1	Tube	NULL
