name	Lab_protocol	step_number	instructions	message	Target_format	Target_sample	reset_focus	input_options	input_format	input_defaults	custom_settings	prompt	transfer_type	createdBy	repeatable	id	createdAt	updatedAt
Do Not Discard This Protocol	1	1			NULL	NULL	NULL				NULL	0	NULL	1	NULL	1	NULL	NULL
Throw Away	1	1			NULL	NULL	NULL				NULL	0	NULL	1	NULL	2	NULL	NULL
Export	1	1			NULL	NULL	NULL				NULL	0	NULL	1	NULL	3	NULL	NULL
Fail Plate	1	1	Standard Protocol Step for Failing Plates	NULL	NULL	NULL	NULL	NULL		NULL	NULL	0	NULL	1	NULL	4	NULL	NULL
Thaw	1	1	Standard Protocol Step for Thawing Plates	NULL	NULL	NULL	NULL	NULL		NULL	NULL	0	NULL	1	NULL	5	NULL	NULL
Get Sample	2	1			NULL	NULL	NULL				NULL	1	NULL	1	NULL	10	NULL	NULL
Aliquot to 384-well Abgene - Culture	2	4			NULL	NULL	NULL	:location*		:	{\"transfer_type\" : \"Aliquot\", \"fill_by\" : \"position\" }	1	Aliquot	1	NULL	11	NULL	NULL
Centrifuge	2	10			NULL	NULL	NULL	equipment			NULL	1	NULL	1	NULL	12	NULL	NULL
Apply solution	2	11			NULL	NULL	NULL	solution:solution_qty	:	:l	NULL	1	NULL	1	NULL	13	NULL	NULL
Setup tubes with DMSO	3	10		Fill empty tubes with RPMI / 20% DMSO	NULL	NULL	NULL	comments			NULL	1	NULL	4	NULL	14	NULL	NULL
Transfer Whole Blood to 2 ml cryovial	3	11			5	4	NULL	transfer_qty*:Split:location*:comments		750ul:3:	{\"transfer_type\" : \"Transfer\", \"target_format\" : 5, \"target_sample\" : 4, \"fill_by\" : \"position\" }	1	Transfer	1	NULL	15	NULL	NULL
New Store Tubes in Box	3	12		Scan Box Barcode	NULL	NULL	NULL	location*:comments			NULL	1	NULL	1	NULL	16	NULL	NULL
Centrifuge	5	1	Centrifuge at 1300 x g for 10 minutes at room temperature	Centrifuge 1300 x g; 10 min (4 deg C)	NULL	NULL	NULL	comments			NULL	1	NULL	1	NULL	18	NULL	NULL
Pre-Print Blood Serum to 2 ml cryovial	4	10			5	5	NULL	Split:location*:comments		2:	{\"transfer_type\" : \"Pre-Print\", \"target_format\" : 5, \"target_sample\" : 5, \"fill_by\" : \"position\" }	1	Pre-Print	1	NULL	22	NULL	NULL
Centrifuge	4	1	Centrifuge 1300 x g; 10 minutes at room temperature	Centrifuge 1300 x g; 10 min (Room Temp)	NULL	NULL	NULL	comments			NULL	1	NULL	1	NULL	23	NULL	NULL
Transfer Blood Serum to 2 ml cryovial	4	11			5	5	NULL	transfer_qty*:Split:location*:comments		1.0ml:2:	{\"transfer_type\" : \"Transfer\", \"target_format\" : 5, \"target_sample\" : 5, \"fill_by\" : \"position\" }	1	Transfer	4	NULL	24	NULL	NULL
Transfer to 2 ml cryovial	6	4			5	NULL	NULL	transfer_qty*:Split:location*:comments	:	1.5ml:3:	{\"transfer_type\" : \"Transfer\", \"target_format\" : 5, \"fill_by\" : \"position\" }	1	Transfer	4	NULL	26	NULL	NULL
Record Clotting time	4	4			NULL	NULL	NULL	Minutes_Clotted:Thaw_Count:comments			NULL	0	NULL	4	NULL	27	NULL	NULL
Extract Blood Plasma out to 2 ml cryovial	5	12			5	10	1	transfer_qty*:Split:location*:comments	::	1.0ml:2::	{\"transfer_type\" : \"Transfer\", \"reset_focus\" : 1, \"target_format\" : 5, \"target_sample\" : 10, \"fill_by\" : \"position\" }	1	Transfer	4	NULL	29	NULL	NULL
Extract White Blood Cells out to 2 ml cryovial	5	13		Extract Buffy Coat	5	7	1	transfer_qty*:location*:comments	:	1.0ml::	{\"transfer_type\" : \"Transfer\", \"reset_focus\" : 1, \"target_format\" : 5, \"target_sample\" : 7, \"fill_by\" : \"position\" }	1	Transfer	4	NULL	30	NULL	NULL
Transfer Red Blood Cells to 2 ml cryovial	5	14			5	6	NULL	transfer_qty*:location*:comments	:	1.0ml::	{\"transfer_type\" : \"Transfer\", \"target_format\" : 5, \"target_sample\" : 6, \"fill_by\" : \"position\" }	1	Transfer	4	NULL	31	NULL	NULL
Store cryovials in box	4	12		Scan Box Barcode	NULL	NULL	NULL	location*:comments			NULL	1	NULL	1	NULL	32	NULL	NULL
Store cryovials in box	5	15		Scan Box Barcode	NULL	NULL	NULL	location*:comments			NULL	0	NULL	1	NULL	33	NULL	NULL
