name	base_unit	factor	status	id	createdAt	updatedAt
l	l	1	Active	1	2016-05-08 22:19:12	2016-05-08 22:19:12
ml	l	0.001	Active	2	2016-05-08 22:19:12	2016-05-08 22:19:12
ul	l	0.000001	Active	3	2016-05-08 22:19:12	2016-05-08 22:19:12
nl	l	0.000000001	Active	4	2016-05-08 22:19:12	2016-05-08 22:19:12
pl	l	0.000000000001	Active	5	2016-05-08 22:19:12	2016-05-08 22:19:12
g	g	1	Active	6	2016-05-08 22:19:12	2016-05-08 22:19:12
mg	g	0.001	Active	7	2016-05-08 22:19:12	2016-05-08 22:19:12
ug	g	0.000001	Active	8	2016-05-08 22:19:12	2016-05-08 22:19:12
pg	g	0.000000000001	Active	9	2016-05-08 22:19:12	2016-05-08 22:19:12
ng	g	0.000000001	Active	10	2016-05-08 22:19:12	2016-05-08 22:19:12
